ISZ|SIANo|SUNo|SumOfNoPiece|PerGroup
Karkotis||SU0044|34.00|
Karkotis||SU0044|24.00|Medieval-Modern
||SU0045|65.00|
||SU0045|2.00|Hellenistic-Roman
||SU0045|43.00|Medieval-Modern
||SU0046|60.00|
||SU0046|48.00|Medieval-Modern
Karkotis||SU0047|101.00|
Karkotis||SU0047|4.00|Hellenistic-Roman
Karkotis||SU0047|7.00|Medieval-Modern
Karkotis||SU0048|30.00|
Karkotis||SU0048|9.00|Medieval-Modern
||SU0049|60.00|
||SU0049|25.00|Medieval-Modern
Karkotis||SU0050|9.00|
Karkotis||SU0050|9.00|Medieval-Modern
Karkotis||SU0051|11.00|
Karkotis||SU0051|56.00|Medieval-Modern
Karkotis||SU0052|62.00|
Karkotis||SU0052|4.00|Hellenistic-Roman
Karkotis||SU0052|18.00|Medieval-Modern
Karkotis||SU0052|1.00|Prehistoric
||SU0053|3.00|
||SU0053|48.00|Medieval-Modern
||SU0054|17.00|
||SU0054|71.00|Medieval-Modern
||SU0055|1.00|Medieval-Modern
||SU0058|1.00|Medieval-Modern
Karkotis||SU0060|36.00|
Karkotis||SU0060|4.00|Hellenistic-Roman
Karkotis||SU0060|79.00|Medieval-Modern
Karkotis||SU0061|22.00|
Karkotis||SU0061|1.00|Hellenistic-Roman
Karkotis||SU0061|10.00|Medieval-Modern
Karkotis||SU0062|13.00|
Karkotis||SU0062|19.00|Medieval-Modern
Karkotis||SU0063|38.00|
Karkotis||SU0063|3.00|Hellenistic-Roman
Karkotis||SU0063|8.00|Medieval-Modern
Karkotis||SU0064|31.00|
Karkotis||SU0064|2.00|Hellenistic-Roman
Karkotis||SU0064|1.00|Iron Age
Karkotis||SU0064|5.00|Medieval-Modern
Karkotis||SU0065|2.00|
Karkotis||SU0065|2.00|Medieval-Modern
Karkotis||SU0066|27.00|
Karkotis||SU0066|27.00|Medieval-Modern
Karkotis||SU0067|28.00|
Karkotis||SU0067|2.00|Hellenistic-Roman
Karkotis||SU0067|27.00|Medieval-Modern
Karkotis||SU0068|21.00|
Karkotis||SU0068|31.00|Medieval-Modern
Karkotis||SU0069|23.00|
Karkotis||SU0069|2.00|Hellenistic-Roman
Karkotis||SU0069|54.00|Medieval-Modern
Karkotis||SU0070|8.00|
Karkotis||SU0070|1.00|Hellenistic-Roman
Karkotis||SU0070|27.00|Medieval-Modern
Karkotis|TS09|SU0071|2.00|Medieval-Modern
Karkotis|TS09|SU0072|1.00|
Karkotis|TS09|SU0072|3.00|Medieval-Modern
Karkotis|TS09|SU0073|1.00|Medieval-Modern
Karkotis|TS09|SU0073|34.00|Prehistoric
Karkotis|TS09|SU0074|1.00|
Karkotis|TS09|SU0074|45.00|Prehistoric
Karkotis|TS09|SU0075|5.00|Prehistoric
Karkotis|TS09|SU0076|14.00|
Karkotis|TS09|SU0076|2.00|Hellenistic-Roman
Karkotis|TS09|SU0076|3.00|Iron Age
Karkotis|TS09|SU0076|75.00|Prehistoric
Karkotis|TS09|SU0077|8.00|
Karkotis|TS09|SU0077|3.00|Hellenistic-Roman
Karkotis|TS09|SU0077|1.00|Medieval-Modern
Karkotis|TS09|SU0077|27.00|Prehistoric
Karkotis|TS09|SU0078|11.00|
Karkotis|TS09|SU0078|1.00|Hellenistic-Roman
Karkotis|TS09|SU0078|6.00|Iron Age
Karkotis|TS09|SU0078|2.00|Medieval-Modern
Karkotis|TS09|SU0078|116.00|Prehistoric
Karkotis||SU0079|1.00|
Karkotis||SU0079|2.00|Medieval-Modern
Karkotis||SU0081|58.00|
Karkotis||SU0081|2.00|Hellenistic-Roman
Karkotis||SU0081|111.00|Medieval-Modern
Karkotis|TS04|SU0082|26.00|
Karkotis|TS04|SU0082|7.00|Hellenistic-Roman
Karkotis|TS04|SU0082|1.00|Iron Age
Karkotis|TS04|SU0082|55.00|Medieval-Modern
Karkotis|TS04|SU0082|1.00|Prehistoric
Karkotis|TS04|SU0083|25.00|
Karkotis|TS04|SU0083|20.00|Medieval-Modern
Karkotis|TS04|SU0084|35.00|
Karkotis|TS04|SU0084|5.00|Hellenistic-Roman
Karkotis|TS04|SU0084|1.00|Iron Age
Karkotis|TS04|SU0084|74.00|Medieval-Modern
Karkotis||SU0085|30.00|
Karkotis||SU0085|11.00|Hellenistic-Roman
Karkotis||SU0085|15.00|Medieval-Modern
Karkotis|TS11|SU0087|17.00|
Karkotis|TS11|SU0087|1.00|Iron Age
Karkotis|TS11|SU0087|4.00|Medieval-Modern
Karkotis|TS11|SU0088|16.00|
Karkotis|TS11|SU0088|2.00|Hellenistic-Roman
Karkotis|TS11|SU0088|18.00|Medieval-Modern
Karkotis|TS11|SU0089|12.00|
Karkotis|TS11|SU0089|1.00|Hellenistic-Roman
Karkotis|TS11|SU0089|14.00|Medieval-Modern
Karkotis|TS11|SU0090|10.00|
Karkotis|TS11|SU0090|5.00|Medieval-Modern
Karkotis|TS11|SU0091|9.00|
Karkotis|TS11|SU0091|2.00|Hellenistic-Roman
Karkotis|TS11|SU0091|13.00|Medieval-Modern
Karkotis|TS11|SU0091|2.00|Prehistoric
Karkotis|TS11|SU0092|13.00|
Karkotis|TS11|SU0092|11.00|Medieval-Modern
Karkotis|TS11|SU0093|10.00|
Karkotis|TS11|SU0093|1.00|Hellenistic-Roman
Karkotis|TS11|SU0093|15.00|Medieval-Modern
Karkotis|TS11|SU0094|86.00|
Karkotis|TS11|SU0094|13.00|Hellenistic-Roman
Karkotis|TS11|SU0094|1.00|Iron Age
Karkotis|TS11|SU0094|38.00|Medieval-Modern
Karkotis|TS11|SU0094|1.00|Prehistoric
Karkotis|TS11|SU0095|42.00|
Karkotis|TS11|SU0095|6.00|Hellenistic-Roman
Karkotis|TS11|SU0095|45.00|Medieval-Modern
Karkotis|TS11|SU0096|66.00|
Karkotis|TS11|SU0096|16.00|Hellenistic-Roman
Karkotis|TS11|SU0096|33.00|Medieval-Modern
Karkotis|TS11|SU0097|61.00|
Karkotis|TS11|SU0097|4.00|Hellenistic-Roman
Karkotis|TS11|SU0097|24.00|Medieval-Modern
Karkotis|TS11|SU0098|32.00|
Karkotis|TS11|SU0098|2.00|Hellenistic-Roman
Karkotis|TS11|SU0098|28.00|Medieval-Modern
Karkotis|TS09|SU0099|54.00|
Karkotis|TS09|SU0099|7.00|Hellenistic-Roman
Karkotis|TS09|SU0099|1.00|Iron Age
Karkotis|TS09|SU0099|3.00|Medieval-Modern
Karkotis|TS09|SU0099|5.00|Prehistoric
Karkotis|TS09|SU0100|54.00|
Karkotis|TS09|SU0100|8.00|Hellenistic-Roman
Karkotis|TS09|SU0100|5.00|Medieval-Modern
Karkotis|TS09|SU0101|5.00|
Karkotis|TS09|SU0101|1.00|Iron Age
Karkotis|TS09|SU0101|80.00|Prehistoric
Karkotis|TS09|SU0102|20.00|
Karkotis|TS09|SU0102|1.00|Medieval-Modern
Karkotis|TS09|SU0102|33.00|Prehistoric
Karkotis|TS09|SU0103|10.00|
Karkotis|TS09|SU0103|10.00|Iron Age
Karkotis|TS09|SU0103|2.00|Medieval-Modern
Karkotis|TS09|SU0103|33.00|Prehistoric
Karkotis|TS09|SU0104|37.00|Prehistoric
Asinou|TS12|SU0300|12.00|
Asinou|TS12|SU0300|3.00|Medieval-Modern
Asinou|TS12|SU0301|11.00|
Asinou|TS12|SU0301|18.00|Medieval-Modern
Mandres|TS12|SU0302|10.00|
Mandres|TS12|SU0302|2.00|Medieval-Modern
Asinou||SU0304|2.00|
Asinou||SU0304|3.00|Medieval-Modern
Asinou||SU0305|2.00|Medieval-Modern
Asinou||SU0306|3.00|
Asinou||SU0306|1.00|Medieval-Modern
Asinou||SU0307|1.00|Medieval-Modern
Asinou||SU0308|1.00|Medieval-Modern
Asinou||SU0309|26.00|
Asinou||SU0309|12.00|Medieval-Modern
Asinou||SU0310|5.00|
Asinou||SU0310|1.00|Medieval-Modern
Asinou||SU0311|1.00|
Asinou||SU0320|1.00|
Mandres|TS07|SU0321|3.00|
Mandres|TS07|SU0322|4.00|
Mandres|TS07|SU0323|1.00|
Mandres|TS07|SU0324|1.00|
Mandres|TS07|SU0326|3.00|
Mandres|TS07|SU0326|1.00|Medieval-Modern
Mandres|TS07|SU0327|3.00|
Mandres|TS07|SU0327|1.00|Medieval-Modern
Mandres||SU0328|2.00|
Mandres|TS07|SU0330|3.00|
Mandres|TS07|SU0331|1.00|Hellenistic-Roman
Mandres|TS07|SU0331|1.00|Medieval-Modern
Mandres|TS07|SU0332|1.00|
Mandres|TS07|SU0334|1.00|Medieval-Modern
Mandres|TS07|SU0336|1.00|
Mandres|TS07|SU0336|1.00|Prehistoric
Mandres|TS07|SU0337|1.00|
Mandres|TS07|SU0338|1.00|
Mandres|TS07|SU0340|1.00|
Mandres|TS07|SU0340|1.00|Medieval-Modern
Mandres|TS07|SU0341|1.00|Medieval-Modern
Mandres|TS07|SU0342|1.00|
Mandres|TS07|SU0344|9.00|
Mandres|TS07|SU0344|1.00|Iron Age
Mandres|TS07|SU0344|1.00|Medieval-Modern
Mandres|TS07|SU0345|15.00|
Mandres|TS07|SU0345|1.00|Hellenistic-Roman
Mandres|TS07|SU0345|7.00|Medieval-Modern
Mandres|TS07|SU0346|26.00|
Mandres|TS07|SU0346|8.00|Hellenistic-Roman
Mandres|TS07|SU0346|2.00|Iron Age
Mandres|TS07|SU0347|25.00|
Mandres|TS07|SU0347|4.00|Hellenistic-Roman
Mandres|TS07|SU0347|1.00|Iron Age
Mandres|TS07|SU0347|1.00|Medieval-Modern
Mandres|TS07|SU0348|24.00|
Mandres|TS07|SU0348|3.00|Hellenistic-Roman
Mandres|TS07|SU0348|7.00|Medieval-Modern
Mandres|TS07|SU0349|13.00|
Mandres|TS07|SU0349|2.00|Hellenistic-Roman
Mandres|TS07|SU0349|2.00|Iron Age
Mandres|TS07|SU0349|3.00|Medieval-Modern
Mandres|TS07|SU0350|25.00|
Mandres|TS07|SU0350|1.00|Hellenistic-Roman
Mandres|TS07|SU0350|7.00|Medieval-Modern
Mandres|TS07|SU0351|19.00|
Mandres|TS07|SU0351|1.00|Hellenistic-Roman
Mandres|TS07|SU0351|10.00|Medieval-Modern
Mandres|TS07|SU0352|9.00|
Mandres|TS07|SU0352|3.00|Medieval-Modern
Mandres|TS07|SU0353|1.00|
Mandres|TS07|SU0353|2.00|Prehistoric
Mandres|TS07|SU0354|7.00|
Mandres|TS07|SU0354|4.00|Medieval-Modern
Mandres|TS07|SU0354|2.00|Prehistoric
Asinou|TS08|SU0355|59.00|
Asinou|TS08|SU0355|2.00|Hellenistic-Roman
Asinou|TS08|SU0355|51.00|Medieval-Modern
Asinou|TS08|SU0356|34.00|
Asinou|TS08|SU0356|2.00|Medieval-Modern
Asinou|TS08|SU0357|32.00|
Asinou|TS08|SU0357|2.00|Hellenistic-Roman
Asinou|TS08|SU0357|30.00|Medieval-Modern
Asinou|TS08|SU0358|30.00|
Asinou|TS08|SU0358|15.00|Medieval-Modern
Asinou|TS08|SU0359|21.00|
Asinou|TS08|SU0359|1.00|Hellenistic-Roman
Asinou|TS08|SU0359|1.00|Medieval-Modern
Asinou|TS08|SU0360|16.00|
Asinou|TS08|SU0360|1.00|Hellenistic-Roman
Asinou|TS08|SU0360|5.00|Medieval-Modern
Asinou|TS08|SU0361|38.00|
Asinou|TS08|SU0361|1.00|Hellenistic-Roman
Asinou|TS08|SU0361|2.00|Medieval-Modern
Asinou|TS08|SU0362|5.00|
Asinou|TS08|SU0362|30.00|Medieval-Modern
Asinou|TS08|SU0363|25.00|
Asinou|TS08|SU0363|20.00|Medieval-Modern
Asinou|TS08|SU0364|59.00|
Asinou|TS08|SU0364|20.00|Medieval-Modern
Asinou|TS12|SU0365|185.00|Medieval-Modern
Asinou|TS12|SU0366|97.00|Medieval-Modern
Asinou||SU0370|1.00|Medieval-Modern
Asinou||SU0374|2.00|Medieval-Modern
Asinou|TS12|SU0382|1.00|Medieval-Modern
Asinou||SU0385|4.00|
Asinou||SU0385|7.00|Medieval-Modern
Asinou|TS12|SU0386|3.00|
Asinou||SU0387|13.00|Medieval-Modern
Asinou||SU0391|1.00|
Karkotis|TS16|SU0392|22.00|
Karkotis|TS16|SU0392|2.00|Hellenistic-Roman
Karkotis|TS16|SU0392|11.00|Medieval-Modern
Karkotis|TS16|SU0393|11.00|
Karkotis|TS16|SU0393|40.00|Medieval-Modern
Karkotis|TS16|SU0394|16.00|
Karkotis|TS16|SU0394|9.00|Medieval-Modern
Karkotis|TS16|SU0395|8.00|
Karkotis|TS16|SU0395|5.00|Medieval-Modern
Extensive|TS02|SU0601|1.00|
Extensive|TS02|SU0602|2.00|
Extensive|TS02|SU0602|1.00|Hellenistic-Roman
Extensive|TS02|SU0603|2.00|
Extensive|TS02|SU0603|1.00|Medieval-Modern
Extensive||SU0613|3.00|
Xyliatos|TS02|SU0614|176.00|
Xyliatos|TS02|SU0614|11.00|Hellenistic-Roman
Xyliatos|TS02|SU0614|17.00|Medieval-Modern
Xyliatos|TS02|SU0615|71.00|
Xyliatos|TS02|SU0615|50.00|Hellenistic-Roman
Xyliatos|TS02|SU0615|1.00|Iron Age
Xyliatos|TS02|SU0615|34.00|Medieval-Modern
Xyliatos|TS02|SU0616|89.00|
Xyliatos|TS02|SU0616|48.00|Hellenistic-Roman
Xyliatos|TS02|SU0616|19.00|Medieval-Modern
Xyliatos|TS02|SU0617|113.00|
Xyliatos|TS02|SU0617|28.00|Hellenistic-Roman
Xyliatos|TS02|SU0617|5.00|Medieval-Modern
Xyliatos|TS02|SU0618|85.00|
Xyliatos|TS02|SU0618|7.00|Hellenistic-Roman
Xyliatos|TS02|SU0618|23.00|Medieval-Modern
Xyliatos|TS02|SU0619|172.00|
Xyliatos|TS02|SU0619|51.00|Hellenistic-Roman
Xyliatos|TS02|SU0619|23.00|Medieval-Modern
Xyliatos|TS02|SU0620|45.00|
Xyliatos|TS02|SU0620|8.00|Hellenistic-Roman
Xyliatos|TS02|SU0620|9.00|Medieval-Modern
Xyliatos|TS02|SU0621|104.00|
Xyliatos|TS02|SU0621|20.00|Hellenistic-Roman
Xyliatos|TS02|SU0621|4.00|Medieval-Modern
Xyliatos|TS02|SU0622|59.00|
Xyliatos|TS02|SU0622|186.00|Hellenistic-Roman
Xyliatos|TS02|SU0622|3.00|Medieval-Modern
Xyliatos|TS02|SU0623|55.00|
Xyliatos|TS02|SU0623|1.00|Hellenistic-Roman
Xyliatos|TS02|SU0623|9.00|Medieval-Modern
Xyliatos|TS02|SU0624|4.00|
Xyliatos|TS02|SU0625|73.00|
Xyliatos|TS02|SU0625|2.00|Hellenistic-Roman
Xyliatos|TS02|SU0626|86.00|
Xyliatos|TS02|SU0626|8.00|Hellenistic-Roman
Xyliatos|TS02|SU0626|24.00|Medieval-Modern
Xyliatos|TS02|SU0627|22.00|
Xyliatos|TS02|SU0627|4.00|Hellenistic-Roman
Xyliatos|TS02|SU0627|1.00|Medieval-Modern
Xyliatos|TS02|SU0628|24.00|
Xyliatos|TS02|SU0628|1.00|Hellenistic-Roman
Xyliatos|TS02|SU0628|1.00|Medieval-Modern
Xyliatos|TS02|SU0629|22.00|
Xyliatos|TS02|SU0629|5.00|Hellenistic-Roman
Xyliatos|TS02|SU0629|2.00|Medieval-Modern
Xyliatos|TS02|SU0630|31.00|
Xyliatos|TS02|SU0630|1.00|Medieval-Modern
Xyliatos|TS02|SU0631|27.00|
Xyliatos|TS02|SU0631|2.00|Hellenistic-Roman
Xyliatos|TS02|SU0631|7.00|Medieval-Modern
Xyliatos|TS02|SU0632|18.00|
Xyliatos|TS02|SU0632|8.00|Medieval-Modern
Xyliatos|TS02|SU0633|15.00|
Xyliatos|TS02|SU0633|10.00|Medieval-Modern
Xyliatos|TS02|SU0634|7.00|
Xyliatos|TS02|SU0634|7.00|Medieval-Modern
Xyliatos|TS02|SU0635|18.00|
Xyliatos|TS02|SU0636|5.00|
Xyliatos|TS02|SU0636|2.00|Medieval-Modern
Xyliatos|TS02|SU0637|19.00|
Xyliatos|TS02|SU0637|1.00|Hellenistic-Roman
Xyliatos|TS02|SU0637|7.00|Medieval-Modern
Xyliatos|TS02|SU0638|44.00|
Xyliatos|TS02|SU0638|4.00|Hellenistic-Roman
Xyliatos|TS02|SU0638|2.00|Medieval-Modern
Xyliatos|TS02|SU0639|37.00|
Xyliatos|TS02|SU0639|2.00|Hellenistic-Roman
Xyliatos|TS02|SU0639|35.00|Medieval-Modern
Xyliatos|TS02|SU0640|30.00|
Xyliatos|TS02|SU0640|9.00|Hellenistic-Roman
Xyliatos|TS02|SU0640|1.00|Iron Age
Xyliatos|TS02|Su0640|7.00|Medieval-Modern
Xyliatos||SU0652|1.00|Medieval-Modern
Xyliatos||SU0653|1.00|Hellenistic-Roman
Xyliatos||SU0654|1.00|Hellenistic-Roman
Xyliatos||SU0657|4.00|
Xyliatos||SU0658|15.00|
Xyliatos||SU0658|7.00|Hellenistic-Roman
Xyliatos||SU0658|3.00|Medieval-Modern
Xyliatos|TS02|SU0659|38.00|
Xyliatos|TS02|SU0659|7.00|Medieval-Modern
Xyliatos|TS02|SU0660|13.00|
Xyliatos|TS02|SU0660|1.00|Hellenistic-Roman
Xyliatos|TS02|SU0660|21.00|Medieval-Modern
Xyliatos|TS02|SU0661|34.00|
Xyliatos|TS02|SU0661|7.00|Hellenistic-Roman
Xyliatos|TS02|SU0661|26.00|Medieval-Modern
||SU0702c|28.00|
||SU0702c|12.00|Hellenistic-Roman
||SU0702c|13.00|Medieval-Modern
||SU0703|34.00|
||SU0703|30.00|Hellenistic-Roman
||SU0703|20.00|Medieval-Modern
Karkotis|TS11|SU1001|21.00|
Karkotis|TS11|SU1001|16.00|Hellenistic-Roman
Karkotis|TS11|SU1001|1.00|Iron Age
Karkotis|TS11|SU1001|24.00|Medieval-Modern
Karkotis|TS11|SU1002|43.00|
Karkotis|TS11|SU1002|11.00|Hellenistic-Roman
Karkotis|TS11|SU1002|29.00|Medieval-Modern
Karkotis|TS11|SU1003|25.00|
Karkotis|TS11|SU1003|20.00|Hellenistic-Roman
Karkotis|TS11|SU1003|6.00|Medieval-Modern
Karkotis|TS11|SU1004|37.00|
Karkotis|TS11|SU1004|14.00|Hellenistic-Roman
Karkotis|TS11|SU1004|24.00|Medieval-Modern
Karkotis|TS13|SU1006|59.00|
Karkotis|TS13|SU1006|55.00|Hellenistic-Roman
Karkotis|TS13|SU1006|9.00|Medieval-Modern
Karkotis||SU1007|12.00|
Karkotis||SU1007|5.00|Hellenistic-Roman
Karkotis||SU1007|30.00|Medieval-Modern
Karkotis||SU1008|25.00|
Karkotis||SU1008|11.00|Hellenistic-Roman
Karkotis||SU1008|1.00|Iron Age
Karkotis||SU1008|13.00|Medieval-Modern
Karkotis||SU1008|1.00|Prehistoric
Karkotis||SU1009|25.00|
Karkotis||SU1009|12.00|Hellenistic-Roman
Karkotis||SU1009|19.00|Medieval-Modern
Karkotis||SU1009|4.00|Prehistoric
Karkotis||SU1010|28.00|
Karkotis||SU1010|20.00|Hellenistic-Roman
Karkotis||SU1010|2.00|Iron Age
Karkotis||SU1010|12.00|Medieval-Modern
Karkotis||SU1011|18.00|
Karkotis||SU1011|13.00|Hellenistic-Roman
Karkotis||SU1011|2.00|Iron Age
Karkotis||SU1011|21.00|Medieval-Modern
Karkotis|TS09|SU1012|28.00|
Karkotis|TS09|SU1012|12.00|Hellenistic-Roman
Karkotis|TS09|SU1012|16.00|Medieval-Modern
Karkotis|TS09|SU1012|3.00|Prehistoric
Karkotis|TS09|SU1013|7.00|
Karkotis|TS09|SU1013|5.00|Iron Age
Karkotis|TS09|SU1013|5.00|Medieval-Modern
Karkotis|TS09|SU1013|33.00|Prehistoric
Karkotis|TS09|SU1014|19.00|
Karkotis|TS09|SU1014|2.00|Hellenistic-Roman
Karkotis|TS09|SU1014|1.00|Iron Age
Karkotis|TS09|SU1014|3.00|Medieval-Modern
Karkotis|TS09|SU1014|27.00|Prehistoric
Karkotis||SU1015|58.00|
Karkotis||SU1015|39.00|Hellenistic-Roman
Karkotis||SU1015|1.00|Iron Age
Karkotis||SU1015|40.00|Medieval-Modern
Karkotis||SU1015|4.00|Prehistoric
Karkotis||SU1016|49.00|
Karkotis||SU1016|30.00|Hellenistic-Roman
Karkotis||SU1016|4.00|Iron Age
Karkotis||SU1016|34.00|Medieval-Modern
Karkotis||SU1017|32.00|
Karkotis||SU1017|5.00|Hellenistic-Roman
Karkotis||SU1017|1.00|Iron Age
Karkotis||SU1017|11.00|Medieval-Modern
Karkotis||SU1017|1.00|Prehistoric
Karkotis||SU1018|29.00|
Karkotis||SU1018|1.00|Hellenistic-Roman
Karkotis||SU1018|10.00|Medieval-Modern
Karkotis||SU1019|9.00|
Karkotis||SU1019|3.00|Hellenistic-Roman
Karkotis||SU1019|3.00|Medieval-Modern
Karkotis||SU1020|6.00|
Karkotis||SU1020|24.00|Medieval-Modern
Karkotis||SU1021|16.00|
Karkotis||SU1021|5.00|Hellenistic-Roman
Karkotis||SU1021|2.00|Medieval-Modern
Karkotis||SU1022|86.00|
Karkotis||SU1022|45.00|Hellenistic-Roman
Karkotis||SU1022|3.00|Iron Age
