ISZ|SIANo|SUNo|SumOfNoPiece|Func|PerGroup
Karkotis|TS11|SU0018|5.00|TW|Medieval-Modern
Karkotis|TS11|SU0019|3.00|Ar|Medieval-Modern
Karkotis|TS11|SU0019|1.00|CW|Medieval-Modern
Karkotis|TS11|SU0019|6.00|HU|Medieval-Modern
Karkotis|TS11|SU0019|13.00|TW|Medieval-Modern
Karkotis|TS11|SU0020|1.00|HU|Medieval-Modern
Karkotis|TS11|SU0020|5.00|LU|Medieval-Modern
Karkotis|TS11|SU0020|2.00|TW|Medieval-Modern
Karkotis||SU0021|2.00|CW|Medieval-Modern
Karkotis||SU0021|3.00|HU|Medieval-Modern
Karkotis||SU0021|2.00|LU|Medieval-Modern
Karkotis||SU0021|3.00|TW|Medieval-Modern
Karkotis||SU0021|1.00|U|Medieval-Modern
Karkotis||SU0022|6.00|HU|Medieval-Modern
Karkotis||SU0022|2.00|LU|Medieval-Modern
Karkotis||SU0022|3.00|TW|Medieval-Modern
Karkotis||SU0023|1.00|Ar|Medieval-Modern
Karkotis||SU0023|2.00|HU|Medieval-Modern
Karkotis||SU0023|5.00|LU|Medieval-Modern
Karkotis||SU0023|9.00|TW|Medieval-Modern
Karkotis||SU0023|1.00|U|Medieval-Modern
Karkotis||SU0024|14.00|Ar|Medieval-Modern
Karkotis||SU0024|5.00|HU|Medieval-Modern
Karkotis||SU0024|5.00|LU|Medieval-Modern
Karkotis||SU0024|6.00|TW|Medieval-Modern
Karkotis||SU0024|1.00|U|Medieval-Modern
Karkotis||SU0025|3.00|Ar|Medieval-Modern
Karkotis||SU0025|1.00|CW|Medieval-Modern
Karkotis||SU0025|11.00|TW|Medieval-Modern
Karkotis||SU0026|7.00|Ar|Medieval-Modern
Karkotis||SU0026|2.00|LU|Medieval-Modern
Karkotis||SU0026|8.00|TW|Medieval-Modern
Karkotis||SU0027|14.00|Ar|Medieval-Modern
Karkotis||SU0027|9.00|LU|Medieval-Modern
Karkotis||SU0027|2.00|TW|Medieval-Modern
Karkotis||SU0028|5.00|Ar|Medieval-Modern
Karkotis||SU0028|1.00|HU|Medieval-Modern
Karkotis||SU0028|4.00|LU|Medieval-Modern
Karkotis||SU0028|2.00|TW|Medieval-Modern
Karkotis||SU0029|5.00|Ar|Medieval-Modern
Karkotis||SU0029|2.00|HU|Medieval-Modern
Karkotis||SU0030|1.00|CW|Medieval-Modern
Karkotis||SU0030|2.00|HU|Medieval-Modern
Karkotis||SU0030|2.00|TW|Medieval-Modern
Karkotis||SU0031|3.00|Ar|Medieval-Modern
Karkotis||SU0031|12.00|HU|Medieval-Modern
Karkotis||SU0031|23.00|LU|Medieval-Modern
Karkotis||SU0031|16.00|TW|Medieval-Modern
Karkotis||SU0031|1.00|U|Medieval-Modern
Karkotis||SU0032|5.00|Ar|Medieval-Modern
Karkotis||SU0032|15.00|HU|Medieval-Modern
Karkotis||SU0032|4.00|LU|Medieval-Modern
Karkotis||SU0032|22.00|TW|Medieval-Modern
Karkotis||SU0032|1.00|U|Medieval-Modern
Karkotis||SU0033|8.00|Ar|Medieval-Modern
Karkotis||SU0033|10.00|HU|Medieval-Modern
Karkotis||SU0033|4.00|LU|Medieval-Modern
Karkotis||SU0033|9.00|TW|Medieval-Modern
Karkotis||SU0034|1.00|Ar|Medieval-Modern
Karkotis||SU0034|1.00|LU|Medieval-Modern
Karkotis||SU0036|1.00|Ar|Medieval-Modern
Karkotis||SU0036|1.00|CW|Medieval-Modern
Karkotis||SU0036|1.00|HU|Medieval-Modern
Karkotis||SU0036|1.00|LU|Medieval-Modern
Karkotis||SU0036|5.00|TW|Medieval-Modern
Karkotis||SU0037|2.00|Ar|Medieval-Modern
Karkotis||SU0037|2.00|CW|Medieval-Modern
Karkotis||SU0037|3.00|HU|Medieval-Modern
Karkotis||SU0037|2.00|TW|Medieval-Modern
Karkotis||SU0038|1.00|Ar|Medieval-Modern
Karkotis||SU0038|5.00|HU|Medieval-Modern
Karkotis||SU0038|1.00|LU|Medieval-Modern
Karkotis||SU0038|8.00|TW|Medieval-Modern
Karkotis||SU0039|5.00|Ar|Medieval-Modern
Karkotis||SU0039|2.00|HU|Medieval-Modern
Karkotis||SU0039|2.00|LU|Medieval-Modern
Karkotis||SU0039|2.00|TW|Medieval-Modern
||SU0040|7.00|Ar|Medieval-Modern
||SU0040|2.00|HU|Medieval-Modern
||SU0040|1.00|TW|Medieval-Modern
||SU0040|1.00|U|Medieval-Modern
Karkotis||SU0041|2.00|Ar|Medieval-Modern
Karkotis||SU0041|4.00|HU|Medieval-Modern
Karkotis||SU0041|4.00|LU|Medieval-Modern
Karkotis||SU0041|4.00|TW|Medieval-Modern
||SU0043|5.00|Ar|Medieval-Modern
||SU0043|10.00|HU|Medieval-Modern
||SU0043|5.00|LU|Medieval-Modern
||SU0043|7.00|TW|Medieval-Modern
||SU0043|1.00|U|Medieval-Modern
Karkotis||SU0044|6.00|Ar|Medieval-Modern
Karkotis||SU0044|4.00|HU|Medieval-Modern
Karkotis||SU0044|3.00|LU|Medieval-Modern
Karkotis||SU0044|11.00|TW|Medieval-Modern
||SU0045|5.00|Ar|Medieval-Modern
||SU0045|1.00|CW|Medieval-Modern
||SU0045|7.00|HU|Medieval-Modern
||SU0045|2.00|LU|Medieval-Modern
||SU0045|28.00|TW|Medieval-Modern
||SU0046|1.00|CW|Medieval-Modern
||SU0046|10.00|HU|Medieval-Modern
||SU0046|2.00|LU|Medieval-Modern
||SU0046|35.00|TW|Medieval-Modern
Karkotis||SU0047|7.00|TW|Medieval-Modern
Karkotis||SU0048|6.00|HU|Medieval-Modern
Karkotis||SU0048|3.00|LU|Medieval-Modern
||SU0049|2.00|Ar|Medieval-Modern
||SU0049|1.00|CW|Medieval-Modern
||SU0049|5.00|HU|Medieval-Modern
||SU0049|1.00|LU|Medieval-Modern
||SU0049|16.00|TW|Medieval-Modern
Karkotis||SU0050|1.00|Ar|Medieval-Modern
Karkotis||SU0050|1.00|HU|Medieval-Modern
Karkotis||SU0050|4.00|LU|Medieval-Modern
Karkotis||SU0050|3.00|TW|Medieval-Modern
Karkotis||SU0051|9.00|Ar|Medieval-Modern
Karkotis||SU0051|13.00|HU|Medieval-Modern
Karkotis||SU0051|34.00|TW|Medieval-Modern
Karkotis||SU0052|2.00|Ar|Medieval-Modern
Karkotis||SU0052|2.00|CW|Medieval-Modern
Karkotis||SU0052|13.00|TW|Medieval-Modern
Karkotis||SU0052|1.00|U|Medieval-Modern
||SU0053|12.00|Ar|Medieval-Modern
||SU0053|13.00|HU|Medieval-Modern
||SU0053|7.00|LU|Medieval-Modern
||SU0053|14.00|TW|Medieval-Modern
||SU0053|2.00|U|Medieval-Modern
||SU0054|8.00|Ar|Medieval-Modern
||SU0054|24.00|CW|Medieval-Modern
||SU0054|20.00|HU|Medieval-Modern
||SU0054|2.00|LU|Medieval-Modern
||SU0054|16.00|TW|Medieval-Modern
||SU0054|1.00|U|Medieval-Modern
||SU0055|1.00|Ar|Medieval-Modern
||SU0058|1.00|TW|Medieval-Modern
Karkotis||SU0060|8.00|Ar|Medieval-Modern
Karkotis||SU0060|2.00|CW|Medieval-Modern
Karkotis||SU0060|25.00|HU|Medieval-Modern
Karkotis||SU0060|15.00|LU|Medieval-Modern
Karkotis||SU0060|28.00|TW|Medieval-Modern
Karkotis||SU0060|1.00|U|Medieval-Modern
Karkotis||SU0061|2.00|Ar|Medieval-Modern
Karkotis||SU0061|7.00|TW|Medieval-Modern
Karkotis||SU0061|1.00|U|Medieval-Modern
Karkotis||SU0062|2.00|Ar|Medieval-Modern
Karkotis||Su0062|1.00|CW|Medieval-Modern
Karkotis||SU0062|6.00|HU|Medieval-Modern
Karkotis||SU0062|5.00|LU|Medieval-Modern
Karkotis||SU0062|4.00|TW|Medieval-Modern
Karkotis||SU0062|1.00|U|Medieval-Modern
Karkotis||SU0063|5.00|Ar|Medieval-Modern
Karkotis||SU0063|1.00|CW|Medieval-Modern
Karkotis||SU0063|2.00|TW|Medieval-Modern
Karkotis||SU0064|4.00|Ar|Medieval-Modern
Karkotis||SU0064|1.00|TW|Medieval-Modern
Karkotis||SU0065|1.00|Ar|Medieval-Modern
Karkotis||SU0065|1.00|TW|Medieval-Modern
Karkotis||SU0066|9.00|Ar|Medieval-Modern
Karkotis||SU0066|1.00|CW|Medieval-Modern
Karkotis||SU0066|3.00|HU|Medieval-Modern
Karkotis||SU0066|4.00|LU|Medieval-Modern
Karkotis||SU0066|10.00|TW|Medieval-Modern
Karkotis||SU0067|7.00|HU|Medieval-Modern
Karkotis||SU0067|11.00|LU|Medieval-Modern
Karkotis||SU0067|9.00|TW|Medieval-Modern
Karkotis||SU0068|15.00|HU|Medieval-Modern
Karkotis||SU0068|13.00|LU|Medieval-Modern
Karkotis||SU0068|3.00|TW|Medieval-Modern
Karkotis||SU0069|1.00|CW|Medieval-Modern
Karkotis||SU0069|16.00|HU|Medieval-Modern
Karkotis||SU0069|13.00|LU|Medieval-Modern
Karkotis||SU0069|24.00|TW|Medieval-Modern
Karkotis||SU0070|2.00|CW|Medieval-Modern
Karkotis||SU0070|13.00|HU|Medieval-Modern
Karkotis||SU0070|8.00|LU|Medieval-Modern
Karkotis||SU0070|3.00|TW|Medieval-Modern
Karkotis||SU0070|1.00|Un|Medieval-Modern
Karkotis|TS09|SU0071|1.00|Ar|Medieval-Modern
Karkotis|TS09|SU0071|1.00|TW|Medieval-Modern
Karkotis|TS09|SU0072|1.00|Ar|Medieval-Modern
Karkotis|TS09|SU0072|2.00|TW|Medieval-Modern
Karkotis|TS09|SU0073|1.00|HU|Medieval-Modern
Karkotis|TS09|SU0077|1.00|LU|Medieval-Modern
Karkotis|TS09|SU0078|2.00|TW|Medieval-Modern
Karkotis||SU0079|1.00|CW|Medieval-Modern
Karkotis||SU0079|1.00|HU|Medieval-Modern
Karkotis||SU0081|4.00|Ar|Medieval-Modern
Karkotis||SU0081|6.00|CW|Medieval-Modern
Karkotis||SU0081|3.00|HU|Medieval-Modern
Karkotis||SU0081|59.00|LU|Medieval-Modern
Karkotis||SU0081|39.00|TW|Medieval-Modern
Karkotis|TS04|SU0082|4.00|Ar|Medieval-Modern
Karkotis|TS04|SU0082|3.00|CW|Medieval-Modern
Karkotis|TS04|SU0082|26.00|HU|Medieval-Modern
Karkotis|TS04|SU0082|13.00|LU|Medieval-Modern
Karkotis|TS04|SU0082|9.00|TW|Medieval-Modern
Karkotis|TS04|SU0083|3.00|Ar|Medieval-Modern
Karkotis|TS04|SU0083|1.00|CW|Medieval-Modern
Karkotis|TS04|SU0083|13.00|HU|Medieval-Modern
Karkotis|TS04|SU0083|3.00|TW|Medieval-Modern
Karkotis|TS04|SU0084|3.00|Ar|Medieval-Modern
Karkotis|TS04|SU0084|4.00|CW|Medieval-Modern
Karkotis|TS04|SU0084|30.00|HU|Medieval-Modern
Karkotis|TS04|SU0084|4.00|LU|Medieval-Modern
Karkotis|TS04|SU0084|31.00|TW|Medieval-Modern
Karkotis|TS04|SU0084|2.00|U|Medieval-Modern
Karkotis||SU0085|11.00|LU|Medieval-Modern
Karkotis||SU0085|4.00|TW|Medieval-Modern
Karkotis|TS11|SU0087|1.00|Ar|Medieval-Modern
Karkotis|TS11|SU0087|3.00|HU|Medieval-Modern
Karkotis|TS11|SU0088|1.00|Ar|Medieval-Modern
Karkotis|TS11|SU0088|1.00|CW|Medieval-Modern
Karkotis|TS11|SU0088|5.00|HU|Medieval-Modern
Karkotis|TS11|SU0088|3.00|LU|Medieval-Modern
Karkotis|TS11|SU0088|8.00|TW|Medieval-Modern
Karkotis|TS11|SU0089|10.00|HU|Medieval-Modern
Karkotis|TS11|SU0089|2.00|LU|Medieval-Modern
Karkotis|TS11|SU0089|2.00|TW|Medieval-Modern
Karkotis|TS11|SU0090|4.00|HU|Medieval-Modern
Karkotis|TS11|SU0090|1.00|TW|Medieval-Modern
Karkotis|TS11|SU0091|4.00|Ar|Medieval-Modern
Karkotis|TS11|SU0091|6.00|HU|Medieval-Modern
Karkotis|TS11|SU0091|2.00|LU|Medieval-Modern
Karkotis|TS11|SU0091|1.00|TW|Medieval-Modern
Karkotis|TS11|SU0092|4.00|Ar|Medieval-Modern
Karkotis|TS11|SU0092|4.00|HU|Medieval-Modern
Karkotis|TS11|SU0092|2.00|LU|Medieval-Modern
Karkotis|TS11|SU0092|1.00|TW|Medieval-Modern
Karkotis|TS11|SU0093|3.00|Ar|Medieval-Modern
Karkotis|TS11|SU0093|4.00|HU|Medieval-Modern
Karkotis|TS11|SU0093|4.00|LU|Medieval-Modern
Karkotis|TS11|SU0093|4.00|TW|Medieval-Modern
Karkotis|TS11|SU0094|11.00|HU|Medieval-Modern
Karkotis|TS11|SU0094|20.00|LU|Medieval-Modern
Karkotis|TS11|SU0094|7.00|TW|Medieval-Modern
Karkotis|TS11|SU0095|3.00|Ar|Medieval-Modern
Karkotis|TS11|SU0095|3.00|CW|Medieval-Modern
Karkotis|TS11|SU0095|16.00|HU|Medieval-Modern
Karkotis|TS11|SU0095|10.00|LU|Medieval-Modern
Karkotis|TS11|SU0095|13.00|TW|Medieval-Modern
Karkotis|TS11|SU0096|2.00|Ar|Medieval-Modern
Karkotis|TS11|SU0096|2.00|CW|Medieval-Modern
Karkotis|TS11|SU0096|8.00|HU|Medieval-Modern
Karkotis|TS11|SU0096|13.00|LU|Medieval-Modern
Karkotis|TS11|SU0096|8.00|TW|Medieval-Modern
Karkotis|TS11|SU0097|1.00|CW|Medieval-Modern
Karkotis|TS11|SU0097|7.00|HU|Medieval-Modern
Karkotis|TS11|SU0097|8.00|LU|Medieval-Modern
Karkotis|TS11|SU0097|7.00|TW|Medieval-Modern
Karkotis|TS11|SU0097|1.00|U|Medieval-Modern
Karkotis|TS11|SU0098|8.00|HU|Medieval-Modern
Karkotis|TS11|SU0098|13.00|LU|Medieval-Modern
Karkotis|TS11|SU0098|7.00|TW|Medieval-Modern
Karkotis|TS09|SU0099|1.00|Ar|Medieval-Modern
Karkotis|TS09|SU0099|1.00|LU|Medieval-Modern
Karkotis|TS09|SU0099|1.00|TW|Medieval-Modern
Karkotis|TS09|SU0100|3.00|Ar|Medieval-Modern
Karkotis|TS09|SU0100|2.00|HU|Medieval-Modern
Karkotis|TS09|SU0102|1.00|TW|Medieval-Modern
Karkotis|TS09|SU0103|2.00|TW|Medieval-Modern
Asinou|TS12|SU0300|3.00|HU|Medieval-Modern
Asinou|TS12|SU0301|1.00|Ar|Medieval-Modern
Asinou|TS12|SU0301|10.00|CW|Medieval-Modern
Asinou|TS12|SU0301|1.00|HU|Medieval-Modern
Asinou|TS12|SU0301|5.00|LU|Medieval-Modern
Asinou|TS12|SU0301|1.00|TW|Medieval-Modern
Mandres|TS12|SU0302|2.00|HU|Medieval-Modern
Asinou||SU0304|1.00|CW|Medieval-Modern
Asinou||SU0304|2.00|LU|Medieval-Modern
Asinou||SU0305|2.00|LU|Medieval-Modern
Asinou||SU0306|1.00|Ar|Medieval-Modern
Asinou||SU0307|1.00|CW|Medieval-Modern
Asinou||SU0308|1.00|LU|Medieval-Modern
Asinou||SU0309|3.00|Ar|Medieval-Modern
Asinou||SU0309|1.00|CW|Medieval-Modern
Asinou||SU0309|4.00|HU|Medieval-Modern
Asinou||SU0309|4.00|LU|Medieval-Modern
Asinou||SU0310|1.00|LU|Medieval-Modern
Mandres|TS07|SU0326|1.00|TW|Medieval-Modern
Mandres|TS07|SU0327|1.00|TW|Medieval-Modern
Mandres|TS07|SU0331|1.00|CW|Medieval-Modern
Mandres|TS07|SU0334|1.00|TW|Medieval-Modern
Mandres|TS07|SU0340|1.00|LU|Medieval-Modern
Mandres|TS07|SU0341|1.00|HU|Medieval-Modern
Mandres|TS07|SU0344|1.00|Ar|Medieval-Modern
Mandres|TS07|SU0345|1.00|HU|Medieval-Modern
Mandres|TS07|SU0345|3.00|LU|Medieval-Modern
Mandres|TS07|SU0345|1.00|TW|Medieval-Modern
Mandres|TS07|SU0345|2.00|U|Medieval-Modern
Mandres|TS07|SU0347|1.00|TW|Medieval-Modern
Mandres|TS07|SU0348|4.00|HU|Medieval-Modern
Mandres|TS07|SU0348|3.00|TW|Medieval-Modern
Mandres|TS07|SU0349|1.00|Ar|Medieval-Modern
Mandres|TS07|SU0349|2.00|HU|Medieval-Modern
Mandres|TS07|SU0350|1.00|Ar|Medieval-Modern
Mandres|TS07|SU0350|6.00|HU|Medieval-Modern
Mandres|TS07|SU0351|2.00|Ar|Medieval-Modern
Mandres|TS07|SU0351|3.00|HU|Medieval-Modern
Mandres|TS07|SU0351|1.00|LU|Medieval-Modern
Mandres|TS07|SU0351|4.00|TW|Medieval-Modern
Mandres|TS07|SU0352|2.00|Ar|Medieval-Modern
Mandres|TS07|SU0352|1.00|HU|Medieval-Modern
Mandres|TS07|SU0354|4.00|TW|Medieval-Modern
Asinou|TS08|SU0355|1.00|Ar|Medieval-Modern
Asinou|TS08|SU0355|1.00|CW|Medieval-Modern
Asinou|TS08|SU0355|23.00|HU|Medieval-Modern
Asinou|TS08|SU0355|19.00|LU|Medieval-Modern
Asinou|TS08|SU0355|7.00|TW|Medieval-Modern
Asinou|TS08|SU0356|1.00|CW|Medieval-Modern
Asinou|TS08|SU0356|1.00|HU|Medieval-Modern
Asinou|TS08|SU0357|1.00|Ar|Medieval-Modern
Asinou|TS08|SU0357|1.00|CW|Medieval-Modern
Asinou|TS08|SU0357|24.00|LU|Medieval-Modern
Asinou|TS08|SU0357|4.00|TW|Medieval-Modern
Asinou|TS08|SU0358|11.00|HU|Medieval-Modern
Asinou|TS08|SU0358|4.00|TW|Medieval-Modern
Asinou|TS08|SU0359|1.00|TW|Medieval-Modern
Asinou|TS08|SU0360|5.00|TW|Medieval-Modern
Asinou|TS08|SU0361|2.00|Ar|Medieval-Modern
Asinou|TS08|SU0362|15.00|HU|Medieval-Modern
Asinou|TS08|SU0362|11.00|LU|Medieval-Modern
Asinou|TS08|SU0362|4.00|TW|Medieval-Modern
Asinou|TS08|SU0363|15.00|HU|Medieval-Modern
Asinou|TS08|SU0363|1.00|LU|Medieval-Modern
Asinou|TS08|SU0363|4.00|TW|Medieval-Modern
Asinou|TS08|SU0364|1.00|Ar|Medieval-Modern
Asinou|TS08|SU0364|19.00|LU|Medieval-Modern
Asinou|TS12|SU0365|2.00|Ar|Medieval-Modern
Asinou|TS12|SU0365|31.00|CW|Medieval-Modern
Asinou|TS12|SU0365|52.00|HU|Medieval-Modern
Asinou|TS12|SU0365|80.00|LU|Medieval-Modern
Asinou|TS12|SU0365|6.00|TW|Medieval-Modern
Asinou|TS12|SU0365|14.00|U|Medieval-Modern
Asinou|TS12|SU0366|3.00|Ar|Medieval-Modern
Asinou|TS12|SU0366|11.00|CW|Medieval-Modern
Asinou|TS12|SU0366|38.00|HU|Medieval-Modern
Asinou|TS12|SU0366|36.00|LU|Medieval-Modern
Asinou|TS12|SU0366|3.00|TW|Medieval-Modern
Asinou|TS12|SU0366|6.00|U|Medieval-Modern
Asinou||SU0370|1.00|LU|Medieval-Modern
Asinou||SU0374|2.00|CW|Medieval-Modern
Asinou|TS12|SU0382|1.00|LU|Medieval-Modern
Asinou||SU0385|5.00|Ar|Medieval-Modern
Asinou||SU0385|1.00|HU|Medieval-Modern
Asinou||SU0385|1.00|LU|Medieval-Modern
Asinou||SU0387|1.00|HU|Medieval-Modern
Asinou||SU0387|11.00|LU|Medieval-Modern
Asinou||SU0387|1.00|U|Medieval-Modern
Karkotis|TS16|SU0392|1.00|CW|Medieval-Modern
Karkotis|TS16|SU0392|5.00|HU|Medieval-Modern
Karkotis|TS16|SU0392|3.00|LU|Medieval-Modern
Karkotis|TS16|SU0392|2.00|TW|Medieval-Modern
Karkotis|TS16|SU0393|3.00|CW|Medieval-Modern
Karkotis|TS16|SU0393|13.00|HU|Medieval-Modern
Karkotis|TS16|SU0393|15.00|LU|Medieval-Modern
Karkotis|TS16|SU0393|1.00|PO|Medieval-Modern
Karkotis|TS16|SU0393|8.00|TW|Medieval-Modern
Karkotis|TS16|SU0394|1.00|CW|Medieval-Modern
Karkotis|TS16|SU0394|3.00|HU|Medieval-Modern
Karkotis|TS16|SU0394|2.00|LU|Medieval-Modern
Karkotis|TS16|SU0394|3.00|TW|Medieval-Modern
Karkotis|TS16|SU0395|2.00|LU|Medieval-Modern
Karkotis|TS16|SU0395|3.00|TW|Medieval-Modern
Extensive|TS02|SU0603|1.00|TW|Medieval-Modern
Xyliatos|TS02|SU0614|4.00|Ar|Medieval-Modern
Xyliatos|TS02|SU0614|7.00|HU|Medieval-Modern
Xyliatos|TS02|SU0614|6.00|TW|Medieval-Modern
Xyliatos|TS02|SU0615|6.00|Ar|Medieval-Modern
Xyliatos|TS02|SU0615|23.00|HU|Medieval-Modern
Xyliatos|TS02|SU0615|5.00|TW|Medieval-Modern
Xyliatos|TS02|SU0616|2.00|Ar|Medieval-Modern
Xyliatos|TS02|SU0616|7.00|HU|Medieval-Modern
Xyliatos|TS02|SU0616|5.00|LU|Medieval-Modern
Xyliatos|TS02|SU0616|5.00|TW|Medieval-Modern
Xyliatos|TS02|SU0617|1.00|Ar|Medieval-Modern
Xyliatos|TS02|SU0617|1.00|CW|Medieval-Modern
Xyliatos|TS02|SU0617|3.00|TW|Medieval-Modern
Xyliatos|TS02|SU0618|5.00|Ar|Medieval-Modern
Xyliatos|TS02|SU0618|4.00|HU|Medieval-Modern
Xyliatos|TS02|SU0618|12.00|TW|Medieval-Modern
Xyliatos|TS02|SU0618|2.00|U|Medieval-Modern
Xyliatos|TS02|SU0619|3.00|HU|Medieval-Modern
Xyliatos|TS02|SU0619|6.00|LU|Medieval-Modern
Xyliatos|TS02|SU0619|14.00|TW|Medieval-Modern
Xyliatos|TS02|SU0620|2.00|Ar|Medieval-Modern
Xyliatos|TS02|SU0620|4.00|LU|Medieval-Modern
Xyliatos|TS02|SU0620|3.00|TW|Medieval-Modern
Xyliatos|TS02|SU0621|3.00|Ar|Medieval-Modern
Xyliatos|TS02|SU0621|1.00|TW|Medieval-Modern
Xyliatos|TS02|SU0622|3.00|TW|Medieval-Modern
Xyliatos|TS02|SU0623|2.00|Ar|Medieval-Modern
Xyliatos|TS02|SU0623|4.00|LU|Medieval-Modern
Xyliatos|TS02|SU0623|3.00|TW|Medieval-Modern
Xyliatos|TS02|SU0626|9.00|Ar|Medieval-Modern
Xyliatos|TS02|SU0626|1.00|LU|Medieval-Modern
Xyliatos|TS02|Su0626|14.00|TW|Medieval-Modern
Xyliatos|TS02|SU0627|1.00|TW|Medieval-Modern
Xyliatos|TS02|SU0628|1.00|Ar|Medieval-Modern
Xyliatos|TS02|SU0629|2.00|Ar|Medieval-Modern
Xyliatos|TS02|SU0630|1.00|HU|Medieval-Modern
Xyliatos|TS02|SU0631|5.00|Ar|Medieval-Modern
Xyliatos|TS02|SU0631|1.00|LU|Medieval-Modern
